Code,R2_Score,Pente,Intercept,P_Value
Q09514,0.004282477278376538,-0.13599138454000748,110.55823743802387,0.42468370658527116
A8UWQ7,0.0042792596070246654,-0.16197446083121078,80.05563800284656,0.4248581316430224
F6U472,0.004257442191527821,-0.15812399906261898,83.58614359123418,0.4260436497690607
A0A0A8WJC6,0.004229896085983352,-0.16268509248867213,78.52907193642385,0.42754753939129897
A3KNI8,0.004202473835606457,-0.16198592179753127,78.17023860380192,0.4290525890108969
A0AAJ7U215,0.004201040970887631,-0.1619617217464665,78.31447530087398,0.42913144938929737
B3GWE1,0.004179676296959698,-0.1601063801538783,79.63941190784146,0.43030988472329385
B6EU61,0.004146354320852009,-0.16023962243036766,78.57222924699917,0.4321576172197923
F2Q9W6,0.004071627760827551,-0.15850675375823267,78.50456751355495,0.4363451373704028
F2Q9W8,0.00406340127731417,-0.1527801320931851,86.65722515053744,0.43680988996429737
C3Y097,0.004061121893027878,-0.15775758436611015,79.25179962693306,0.43693879623288945
C0HJZ3,0.00402982480891386,-0.1581396555458633,78.32071753782213,0.43871461618765883
C0HJZ4,0.004022220290649673,-0.15835405134432307,77.82655031394663,0.43914776344936635
F2Q9W7,0.00401337210244873,-0.15769188546858373,77.95818524683239,0.4396525712349776
O47431,0.00396220971003743,-0.14880252195106936,88.2969298069988,0.442588971147785
F2Q9W9,0.003961436375870092,-0.15649167149513604,78.14873195556824,0.44263358595943375
F2Q9X1,0.003950035937154456,-0.15062219095900056,86.24868682310992,0.44329209621959936
F2Q9X0,0.003939075299282314,-0.1563504613958403,77.56440006610839,0.4439266226558008
F2Q9X8,0.003921228386386599,-0.15433246814409946,79.4000763808264,0.4449627979418664
Q9NL48,0.003908218489287595,-0.1391766492967077,101.06240818895164,0.44572048930732466
F2Q9X3,0.003906881965827729,-0.1547743456829002,78.82129149690172,0.4457984405372895
F2Q9X4,0.003887213132580146,-0.15472212657289147,78.18367991889615,0.44694803985021947
F2Q9X2,0.0038797729225988325,-0.15509276191840296,77.70788777113825,0.4473840971834635
F2Q9X5,0.003852672694411411,-0.15406652415676134,78.2103580395638,0.4489779694491827
G5EGB6,0.003832019544142504,-0.1535249601885355,77.83754999917443,0.45019857900787397
Q20638,0.003824415964272384,-0.10052928677118655,143.30815353092277,0.4506492511564636
F6WII6,0.003801002097990472,-0.15365947444412156,77.07340357726031,0.45204142942673003
F2Q9X6,0.0038005688211262883,-0.15332632492098755,77.6892373337469,0.4520672549230044
F6WYU4,0.0037914534599865247,-0.15334074852503446,77.22249356045923,0.45261110987896735
F2Q9Y0,0.0037557288827529075,-0.1520848373199266,77.99244566739922,0.45475243533359083
F7GH03,0.0037434882232773477,-0.15228988508649202,77.14424472161613,0.45548978197744117
Q7TPG1,0.0037141639002792677,-0.13461756869667002,102.08614493547535,0.45726384354410154
F6YMJ4,0.0037125321989160097,-0.1517469997593544,77.06769206124328,0.45736287639692674
O76629,0.003676489793924412,-0.15012810965531456,77.7965609067657,0.45955902706809004
P48798,0.0036401125518381863,-0.1461131216443447,82.52769845204605,0.46179248134474804
O93548,0.0036392457966473515,-0.1501130112818984,76.73670531056749,0.46184590659611774
P01994,0.003626979089181267,-0.14983852909221523,76.80855095245282,0.46260305474771424
P02088,0.003619281619444604,-0.14931429181985098,77.26100407284144,0.46307917641657526
P01942,0.0036184181344077406,-0.14972089772146496,76.71507069913918,0.4631326351313849
P02208,0.0036166629794111157,-0.14940737326735903,76.80009879872384,0.4632413276622503
P02089,0.0036065733687146314,-0.14916514594455813,77.04925269701339,0.4638669385615888
P02042,0.0036039693361956974,-0.1490583426408766,77.14836705706072,0.4640286204680313
P02001,0.0035980186317166336,-0.14898773011198388,77.15689428701378,0.46439843013156396
Q2WG80,0.0035811328282902405,-0.13457870774658853,98.40227640531094,0.46545036151736735
P02762,0.003577352792370397,-0.14629066935703725,80.01170249023234,0.4656863648837516
P02007,0.003574630917898114,-0.1485706383914953,76.9815552388693,0.4658564208284941
Q9CQE0,0.003566744988206713,-0.12805388984194555,110.69841786111245,0.46634967291748275
P02197,0.0035655294606188196,-0.14800997769404697,77.23391562575546,0.46642577621336734
P02008,0.0035425321897216908,-0.14802655745107574,76.71804274894889,0.46786936007240154
P02144,0.0035412429315245944,-0.14764954688976473,76.98905971231197,0.4679505004478981
P09967,0.0035393961598205043,-0.14770922549535848,76.76221402713958,0.46806676751302256
P02127,0.003538397807611416,-0.1477272375849175,76.86730987785869,0.4681296399246515
P09968,0.0035320002178490556,-0.1476034060316418,76.69634402759436,0.46853285640421727
P02100,0.003527162122955685,-0.1476987803673326,76.59415502432762,0.46883815270920004
Q19601,0.0035260731194503426,-0.08539023384670354,177.12616260690845,0.4689069155392306
P02104,0.003514159272569122,-0.14742964607633144,76.57190192689617,0.4696602462116848
P02112,0.0035110251600704648,-0.14738729363684883,76.51558730179464,0.4698587430804306
P30627,0.003508318763093464,-0.14611043565119342,78.07564796103742,0.47003025911358426
Q70PH6,0.0035012180993846996,-0.13225917470819734,99.53389893516058,0.47048073641286664
P04247,0.0035011420895798466,-0.14675328468376064,76.97234976415668,0.47048556234141076
P61802,0.0035003634392278614,-0.07622302660110983,199.25757725889434,0.47053500410441707
P04443,0.003482434853283846,-0.14656880388932675,76.72238119312357,0.47167572291518534
P02128,0.0034795019987070956,-0.14666500947805564,76.54913044479188,0.47186275082735923
P09105,0.00345633347308143,-0.14602847449942052,76.63914626302578,0.47334441176759634
P49141,0.003439410781918505,-0.14380350230286085,79.60740988570265,0.4744313888098388
P04444,0.003436102975898987,-0.14569737112887876,76.4810834418865,0.47464432649300337
P20244,0.0034082127772143605,-0.14475497774655824,76.93694208829812,0.4764459023992381
P20245,0.0034017287738203413,-0.14476596555931287,76.71068717513278,0.4768663257301301
Q23117,0.0033711442818959683,-0.1435773664840155,77.5415848129515,0.47885757306482934
Q17727,0.0033629076331452585,-0.1421717576780072,79.05757816504496,0.47939614406708214
P06467,0.003362192161656745,-0.14417284481007264,76.30371512062297,0.47944297328048713
F6YXK6,0.0033561433019899996,-0.06943505268578747,218.6015410895011,0.47983918284045357
Q98980,0.0033509111386651304,-0.13608975771452636,88.74220770016565,0.4801823283342423
P68871,0.0033505928595581095,-0.14347591886907649,76.99018693162509,0.4802032152229336
Q18311,0.0033424088121174742,-0.14256515067223816,77.80820070266282,0.48074079844184997
Q20015,0.0033289427396875244,-0.14190483802242174,78.35180606313365,0.48162748262779137
P69905,0.003304163102083692,-0.142936175589191,76.22761128450917,0.4832661266615727
P69891,0.003302440144492724,-0.14286213241919668,76.23356466569199,0.4833804031651613
Q3KN63,0.0032934907934956672,-0.14209691007591235,77.32499732763708,0.48397468984174236
Q2XNF5,0.003288214983409469,-0.14217465788627207,76.79154726147475,0.4843255952980695
P69892,0.003287918423258279,-0.14259467359628683,76.15437000619404,0.48434533255833756
Q22663,0.003255875517522494,-0.14157654250771606,76.68919823554819,0.4864857384234911
Q3MQ62,0.0032258227891693437,-0.14109534105917465,76.46724333670737,0.48850741955528015
Q5QSB1,0.003215902486558385,-0.14057998689157428,77.07674176165318,0.48917782198845816
Q8AXK2,0.0031867698470213544,-0.13941446086275242,77.98063544129596,0.4911554183057409
Q4V6L1,0.003165212356137496,-0.13863091558381266,77.9364490487204,0.4926273679296345
Q575S8,0.003162950483819313,-0.1392302431514456,76.97044234372505,0.4927822350247437
Q7YWV3,0.0031500974944095534,-0.13692123067375483,80.51314308451545,0.4936638050167275
Q6VN46,0.0031299964209948778,-0.1392405372409654,76.11021534573729,0.49504780616100924
Q70T62,0.0031216857361268113,-0.1388196400813175,76.40975273247636,0.49562191322342225
Q9VNE2,0.0031194446077841,-0.13447771279353635,84.76652755695095,0.4957769227667399
Q8UUR3,0.0031098118883555303,-0.13829037168647984,77.14616443471223,0.49644410490534246
Q70T63,0.003097945713191796,-0.13812419888590022,76.6372102751173,0.4972680557065621
Q70T64,0.0030664728755061066,-0.13774701498374337,76.13853210076374,0.49946461666437086
Q7ZT21,0.003039438519863796,-0.13729970197300606,76.19176332386414,0.5013645150516477
Q6B0K9,0.003032821653129104,-0.13715469378374956,75.81095137650539,0.5018313938588148
Q8WWM9,0.003002548854044355,-0.13598512893627335,76.82784333309779,0.5039768512760543
Q9GL60,0.00299269809152329,-0.13541464295400982,77.96576522013741,0.5046783489833403
O17824,0.002992458150245641,-0.06937812778076397,207.17110657307373,0.504695456560266
Q8HY34,0.0029740201931219676,-0.13607114100249273,75.74222858146557,0.5060130297491928
Q9ER97,0.0029642240142988834,-0.1357699061065706,76.5519763226356,0.5067154550201245
Q9PVD5,0.0029525245129791004,-0.1352997491733923,77.2287240969284,0.5075565449439663
Q90485,0.002952111271679103,-0.13553086604564196,75.9524295241977,0.5075862970289964
Q90486,0.002950526649974774,-0.13554255472596838,75.91520802229212,0.5077004125608503
Q7YZV1,0.0029497348909780356,-0.0765869299999499,182.2048333117843,0.5077574470612863
Q90487,0.0029480407886838373,-0.1355522277140376,75.9401124780665,0.5078795189233309
Q9DDJ0,0.002947430220794989,-0.13514395234089557,76.82699712408207,0.5079235269258201
Q95J88,0.0029399945075124943,-0.12839950753936633,87.86721121856924,0.5084599973928348
Q9NPG2,0.0029179693575511613,-0.13493855413915976,76.42646020425524,0.5100547888671493
Q90YJ2,0.002914227414628811,-0.13471773972354134,75.90073226453248,0.5103265897739124
Q9CX80,0.0029101643585523786,-0.13469756443233297,75.94105807264476,0.5106219978015042
Q9XXI2,0.0029000128639304667,-0.13436507135587322,76.73312432520042,0.5113613609212709
Q9I7P6,0.0028957633391064417,-0.13322318337160957,78.1204595295833,0.5116714149518653
Q9I9I3,0.0028856867605575615,-0.13456218143334567,75.61549463457774,0.5124079221804886
Q90864,0.0028536853362176214,-0.13354668250273974,75.48480753396407,0.5147591514922338
Q17884,0.0015449293631544106,-0.033961526011339865,391.88046542145105,0.6318199765239476
G3UZ78,0.0005755236743422047,0.022031100800004366,554.1802270824685,0.7699904730051361
Q8WY91,0.0004400863031847115,0.011913147389243825,354.45322589024414,0.7982050119818511
Q8N7X0,0.0001719805841651167,-0.008729826213269658,410.1015657837538,0.873025267554131
Q8MPY8,2.8546340639447328e-05,0.004498408578388639,326.2344029458154,0.94808700511653
A0AAJ7SV95,1.0056640471703733e-05,-0.0020412196840849275,485.3140291750695,0.9691735164417443
Q18086,9.334723135737664e-06,0.0018351837080228153,329.67131758058196,0.970300035840746
