Position_RLMC,Code,R2_Score,Position_Originale
50,Q9NL48,0.003908218489287595,147
51,F2Q9X3,0.003906881965827729,30
52,F2Q9X4,0.003887213132580146,31
53,F2Q9X2,0.0038797729225988325,29
54,F2Q9X5,0.003852672694411411,32
55,G5EGB6,0.003832019544142504,45
56,Q20638,0.003824415964272384,98
57,F6WII6,0.003801002097990472,38
58,F2Q9X6,0.0038005688211262883,33
59,F6WYU4,0.0037914534599865247,39
60,F2Q9Y0,0.0037557288827529075,36
61,F7GH03,0.0037434882232773477,42
62,Q7TPG1,0.0037141639002792677,119
63,F6YMJ4,0.0037125321989160097,40
64,O76629,0.003676489793924412,51
65,P48798,0.0036401125518381863,81
66,O93548,0.0036392457966473515,52
67,P01994,0.003626979089181267,54
68,P02088,0.003619281619444604,59
69,P01942,0.0036184181344077406,53
70,P02208,0.0036166629794111157,68
71,P02089,0.0036065733687146314,60
72,P02042,0.0036039693361956974,58
73,P02001,0.0035980186317166336,55
74,Q2WG80,0.0035811328282902405,104
75,P02762,0.003577352792370397,69
76,P02007,0.003574630917898114,56
77,Q9CQE0,0.003566744988206713,139
78,P02197,0.0035655294606188196,67
79,P02008,0.0035425321897216908,57
80,P02144,0.0035412429315245944,66
81,P09967,0.0035393961598205043,75
82,P02127,0.003538397807611416,64
83,P09968,0.0035320002178490556,76
84,P02100,0.003527162122955685,61
85,Q19601,0.0035260731194503426,95
86,P02104,0.003514159272569122,62
87,P02112,0.0035110251600704648,63
88,P30627,0.003508318763093464,80
89,Q70PH6,0.0035012180993846996,114
90,P04247,0.0035011420895798466,70
91,P61802,0.0035003634392278614,83
92,P04443,0.003482434853283846,71
93,P02128,0.0034795019987070956,65
94,P09105,0.00345633347308143,74
95,P49141,0.003439410781918505,82
96,P04444,0.003436102975898987,72
97,P20244,0.0034082127772143605,78
98,P20245,0.0034017287738203413,79
99,Q23117,0.0033711442818959683,102
100,Q17727,0.0033629076331452585,91
101,P06467,0.003362192161656745,73
102,F6YXK6,0.0033561433019899996,41
103,Q98980,0.0033509111386651304,138
104,P68871,0.0033505928595581095,84
105,Q18311,0.0033424088121174742,94
106,Q20015,0.0033289427396875244,96
107,P69905,0.003304163102083692,87
108,P69891,0.003302440144492724,85
109,Q3KN63,0.0032934907934956672,106
110,Q2XNF5,0.003288214983409469,105
111,P69892,0.003287918423258279,86
112,Q22663,0.003255875517522494,101
113,Q3MQ62,0.0032258227891693437,107
114,Q5QSB1,0.003215902486558385,111
115,Q8AXK2,0.0031867698470213544,123
116,Q4V6L1,0.003165212356137496,109
117,Q575S8,0.003162950483819313,110
118,Q7YWV3,0.0031500974944095534,120
119,Q6VN46,0.0031299964209948778,113
120,Q70T62,0.0031216857361268113,115
121,Q9VNE2,0.0031194446077841,151
122,Q8UUR3,0.0031098118883555303,127
123,Q70T63,0.003097945713191796,116
124,Q70T64,0.0030664728755061066,117
125,Q7ZT21,0.003039438519863796,122
126,Q6B0K9,0.003032821653129104,112
127,Q8WWM9,0.003002548854044355,128
128,Q9GL60,0.00299269809152329,143
129,O17824,0.002992458150245641,47
130,Q8HY34,0.0029740201931219676,124
131,Q9ER97,0.0029642240142988834,142
132,Q9PVD5,0.0029525245129791004,149
133,Q90485,0.002952111271679103,131
134,Q90486,0.002950526649974774,132
135,Q7YZV1,0.0029497348909780356,121
136,Q90487,0.0029480407886838373,133
137,Q9DDJ0,0.002947430220794989,141
138,Q95J88,0.0029399945075124943,136
139,Q9NPG2,0.0029179693575511613,148
140,Q90YJ2,0.002914227414628811,135
141,Q9CX80,0.0029101643585523786,140
142,Q9XXI2,0.0029000128639304667,152
143,Q9I7P6,0.0028957633391064417,145
144,Q9I9I3,0.0028856867605575615,146
145,Q90864,0.0028536853362176214,134
146,Q17884,0.0015449293631544106,92
147,G3UZ78,0.0005755236743422047,43
148,Q8WY91,0.0004400863031847115,129
149,Q8N7X0,0.0001719805841651167,126
150,Q8MPY8,2.8546340639447328e-05,125
151,A0AAJ7SV95,1.0056640471703733e-05,4
152,Q18086,9.334723135737664e-06,93
