,A0A0A8WJC6,A0A0K3AT43,A0A2H4ZEZ2,A0AAJ7SV95,A0AAJ7T5N9,A0AAJ7TMY1,A0AAJ7U215,A0AVK6,A3KNI8,A3RMS5,A8MTQ0,A8UWQ7,B3GWE1,B3WFV2,B6EU61,C0HJZ3,C0HJZ4,C1P638,C3Y097,C3YWU0,D0VWM4,E1NZ07,F2Q9W6,F2Q9W7,F2Q9W8,F2Q9W9,F2Q9X0,F2Q9X1,F2Q9X2,F2Q9X3,F2Q9X4,F2Q9X5,F2Q9X6,F2Q9X7,F2Q9X8,F2Q9Y0,F6U472,F6WII6,F6WYU4,F6YMJ4,F6YXK6,F7GH03,G3UZ78,G5EF00,G5EGB6,H9G343,O17824,O42145,O47431,O62089,O76629,O93548,P01942,P01994,P02001,P02007,P02008,P02042,P02088,P02089,P02100,P02104,P02112,P02127,P02128,P02144,P02197,P02208,P02762,P04247,P04443,P04444,P06467,P09105,P09967,P09968,P0DM64,P20244,P20245,P30627,P48798,P49141,P61802,P68871,P69891,P69892,P69905,Q09240,Q09514,Q17134,Q17727,Q17884,Q18086,Q18311,Q19601,Q20015,Q20623,Q20638,Q21618,Q21978,Q22663,Q23117,Q24570,Q2WG80,Q2XNF5,Q3KN63,Q3MQ62,Q4H3K6,Q4V6L1,Q575S8,Q5QSB1,Q6B0K9,Q6VN46,Q70PH6,Q70T62,Q70T63,Q70T64,Q7KLI1,Q7TPG1,Q7YWV3,Q7YZV1,Q7ZT21,Q8AXK2,Q8HY34,Q8MPY8,Q8N7X0,Q8UUR3,Q8WWM9,Q8WY91,Q90259,Q90485,Q90486,Q90487,Q90864,Q90YJ2,Q95J88,Q966A3,Q98980,Q9CQE0,Q9CX80,Q9DDJ0,Q9ER97,Q9GL60,Q9GYP4,Q9I7P6,Q9I9I3,Q9NL48,Q9NPG2,Q9PVD5,Q9U2R5,Q9VNE2,Q9XXI2
F2Q9X8,0.017814577,0.08046329,0.19388229,0.05023521,0.026708841,0.028755128,0.018792093,0.06301147,0.016628385,0.013706803,0.11795622,0.074905574,0.016120315,0.035795808,0.030516267,0.03837371,0.045456886,0.008669078,0.021956801,0.06335986,0.015859842,0.04709989,0.017769337,0.040127218,0.02063036,0.031066239,0.014330268,0.014608622,0.058949053,0.029506743,0.027386308,0.044306934,0.09627658,0.16186285,0.0,0.032907426,0.40841663,0.030351937,0.02724731,0.033417642,0.027778566,0.023353577,0.028340876,0.023702085,0.025495648,0.05235815,0.030388236,0.17541462,0.091323495,0.026003003,0.010635436,0.0309574,0.052074254,0.0313254,0.03188914,0.02447021,0.028674424,0.040900588,0.032629848,0.036225975,0.03838086,0.03496027,0.015355885,0.018826127,0.017020226,0.045606256,0.05731833,0.042123556,0.05069685,0.037448585,0.029782236,0.028070807,0.017560363,0.04238224,0.03558594,0.04261142,0.042181194,0.07890707,0.06851667,0.023305655,0.030785263,0.085044324,0.09246415,0.047793925,0.032113492,0.028574169,0.05633372,0.014638603,0.02207613,0.06095934,0.023861647,0.044786394,0.035275042,0.014010549,0.022112668,0.01823318,0.015624106,0.01583469,0.079627216,0.039066136,0.016800702,0.015911877,0.09682536,0.052408516,0.0375005,0.017292976,0.018797517,0.12770057,0.01289016,0.0112397075,0.018259466,0.048240185,0.061100006,0.05578822,0.020133972,0.01612717,0.020942092,0.05320221,0.09300017,0.013407946,0.025467753,0.031274855,0.25934285,0.032384515,0.036957145,0.0345034,0.012453735,0.019018471,0.07849622,0.1198982,0.015353799,0.015590787,0.03249395,0.020751357,0.011985481,0.0840888,0.014165878,0.26058966,0.08424038,0.014863074,0.025745511,0.02109921,0.035904646,0.02824682,0.015222073,0.0378384,0.08248013,0.019758165,0.13217825,0.016920626,0.025131106,0.014985979
F2Q9Y0,0.021609008,0.1279766,0.14727598,0.06330949,0.04045707,0.030143142,0.02664107,0.07958919,0.05252695,0.041781366,0.13414603,0.07358956,0.036504447,0.07311416,0.04246807,0.027146935,0.027172148,0.04065609,0.03589034,0.066131175,0.03292817,0.07232642,0.02856803,0.04467976,0.042887628,0.021527648,0.0228858,0.032444894,0.02191019,0.028991878,0.024211228,0.013553679,0.032654822,0.20176643,0.032907426,0.0,0.40763932,0.014673173,0.013041139,0.021848083,0.04716444,0.025821507,0.042750537,0.0508852,0.028203309,0.06872296,0.056201577,0.1799764,0.09569359,0.058302402,0.038606882,0.023252845,0.024141252,0.02117902,0.020077586,0.029296577,0.028865099,0.014857054,0.015022993,0.014818072,0.014798701,0.018281221,0.023652077,0.02892822,0.030458927,0.021146178,0.027550817,0.023345709,0.067159116,0.018643439,0.017420769,0.019616902,0.032211423,0.04480499,0.019695222,0.020326972,0.08034158,0.074297726,0.065158844,0.03394288,0.041417062,0.07331556,0.114332974,0.017600358,0.009779811,0.00972122,0.027304053,0.044279635,0.03738469,0.076203704,0.041858613,0.08190179,0.06203425,0.02925247,0.0494892,0.057793975,0.03342682,0.042381167,0.101451516,0.070854306,0.04111445,0.057071567,0.13544685,0.09986007,0.054854453,0.035586834,0.033188462,0.16282767,0.035594404,0.030559063,0.03171736,0.047308207,0.022158444,0.07319647,0.02940023,0.035418212,0.029558182,0.094228625,0.121854484,0.048237264,0.059516132,0.020643473,0.26051092,0.020072281,0.06052804,0.051325917,0.021618605,0.025099099,0.08213717,0.14487416,0.019143939,0.019157112,0.0200575,0.023646474,0.027537227,0.10341066,0.043889344,0.2769729,0.12587553,0.023426235,0.04017192,0.046727955,0.049071014,0.04241854,0.04882258,0.022199154,0.08083093,0.03686267,0.16046005,0.04521203,0.048167646,0.03888738
F6U472,0.39671922,0.35645294,0.43464702,0.367855,0.40795124,0.4136722,0.4088496,0.3994441,0.42144352,0.39336437,0.4216717,0.44205898,0.38945842,0.407345,0.3972826,0.4243812,0.42482698,0.39463085,0.39797723,0.41486818,0.3940909,0.4061376,0.40842164,0.40061998,0.41965348,0.4190294,0.4064476,0.41095114,0.42465442,0.38642716,0.4063266,0.4147684,0.4330991,0.5003637,0.40841663,0.40763932,0.0,0.4030164,0.404485,0.4073407,0.40104634,0.4086901,0.39328527,0.38936532,0.39250684,0.40935564,0.40440023,0.2831009,0.43281478,0.41168404,0.40523225,0.4079361,0.42388058,0.4093485,0.40469748,0.40959185,0.41119373,0.41257715,0.41045916,0.4100281,0.40171713,0.40439343,0.40067434,0.39493847,0.40007508,0.4134525,0.42151552,0.40987313,0.41681314,0.4064805,0.3992473,0.3960902,0.40542793,0.4308719,0.404158,0.41019934,0.41978192,0.38469595,0.3942715,0.39968067,0.41871804,0.39395642,0.33578032,0.42189586,0.4016152,0.40016395,0.42723668,0.399238,0.40049368,0.4244368,0.39870113,0.4145053,0.4021898,0.39697063,0.40002233,0.39504468,0.3930028,0.39281577,0.42854452,0.39959538,0.4042961,0.40917867,0.44817996,0.41223204,0.39979267,0.39770883,0.4112326,0.28576636,0.4041772,0.3947733,0.41297197,0.43411368,0.42003393,0.42338794,0.41042984,0.4059503,0.41281372,0.3551718,0.2967736,0.40456158,0.39357173,0.41142207,0.3186261,0.40861487,0.3946917,0.39291734,0.39866304,0.40331596,0.38740706,0.39153355,0.40014172,0.4037041,0.41152763,0.4022631,0.40132958,0.43818963,0.39782602,0.31665534,0.3771332,0.40083027,0.41907722,0.43620235,0.4010389,0.40491635,0.4163748,0.40894818,0.33059204,0.4238491,0.36983007,0.4124552,0.40407205,0.3972785
F6WII6,0.018077075,0.11864251,0.14540726,0.06566346,0.044083774,0.026700437,0.017260551,0.066607475,0.038083553,0.036026597,0.14617127,0.06955689,0.026408255,0.062111437,0.041446447,0.021919549,0.021714628,0.032128036,0.030778408,0.07022792,0.02768439,0.06288332,0.016640961,0.045148015,0.033548117,0.021292567,0.017686605,0.029580295,0.02189082,0.033100307,0.020034373,0.015989184,0.03985101,0.21390706,0.030351937,0.014673173,0.4030164,0.0,0.008397639,0.009940684,0.042951047,0.008461952,0.03629297,0.041026175,0.022557557,0.057428837,0.036141574,0.18180698,0.08637124,0.048661053,0.028885186,0.017207265,0.022634327,0.010945916,0.010661006,0.012684643,0.015127599,0.010995805,0.007977724,0.0063165426,0.006535709,0.005340755,0.014631331,0.018475652,0.022650778,0.011183798,0.018074393,0.019092262,0.062010586,0.009137213,0.007696092,0.009049475,0.017202616,0.037667394,0.016943038,0.017940223,0.07834822,0.066551864,0.05806893,0.022967815,0.044004798,0.07892853,0.09208107,0.014623404,0.0046606064,0.0037876964,0.02447164,0.0400244,0.026557446,0.0765602,0.040020943,0.07144427,0.051049232,0.019406676,0.046629608,0.046406984,0.028013408,0.036106586,0.084046185,0.059069633,0.03616774,0.048890352,0.13036251,0.10263497,0.052758694,0.032308936,0.017800868,0.16064388,0.022246301,0.026285052,0.027640045,0.045463562,0.021054566,0.072197974,0.013889968,0.02572161,0.012584686,0.08613241,0.102622926,0.03944689,0.046186745,0.012171924,0.24581522,0.0112627745,0.054912925,0.041626036,0.020079195,0.023148775,0.080794156,0.14121693,0.019566894,0.01960677,0.0070390105,0.01242882,0.020838678,0.10990381,0.038065195,0.27754843,0.116651595,0.02146852,0.034372747,0.034480512,0.049199164,0.038654983,0.031219125,0.01666826,0.07827616,0.030821204,0.15663546,0.03976214,0.030775487,0.03065586
F6WYU4,0.013582289,0.11359185,0.15541184,0.057499588,0.03315133,0.025073469,0.019813657,0.0711779,0.042947233,0.031152606,0.13544339,0.07117003,0.024120748,0.058704793,0.028652608,0.012964308,0.015170574,0.025782883,0.025017142,0.06668383,0.026436567,0.05741775,0.024670959,0.045032263,0.035158336,0.02472508,0.017620802,0.028900206,0.030209005,0.02337271,0.01989901,0.018737376,0.04373312,0.20233762,0.02724731,0.013041139,0.404485,0.008397639,0.0,0.012366056,0.039408565,0.01167655,0.038306773,0.033973336,0.02450353,0.05309403,0.039816856,0.1748274,0.08875543,0.047526896,0.026042819,0.010722458,0.019933462,0.008287907,0.01178056,0.0150069,0.016028821,0.009123862,0.004669428,0.005879104,0.005384445,0.0074774027,0.007637143,0.011558592,0.013177693,0.020587087,0.027584195,0.021178067,0.06417298,0.017344594,0.005889058,0.0071685314,0.015021026,0.032352805,0.016456544,0.021053016,0.06989026,0.060938537,0.054091096,0.02099961,0.039212286,0.07084769,0.10006672,0.012497723,0.0061416626,0.0053915977,0.019520879,0.03605634,0.030488014,0.06693894,0.029824555,0.06552476,0.04931289,0.020186007,0.036875844,0.042157352,0.026483417,0.032876015,0.09548527,0.05825442,0.03411746,0.044944465,0.12405437,0.08599627,0.050314367,0.028368115,0.026744604,0.15249461,0.024863899,0.022688568,0.024170458,0.033068657,0.025031745,0.06853491,0.018207371,0.026798487,0.020892978,0.07653785,0.10261911,0.035896957,0.047768474,0.01255703,0.24370831,0.009672821,0.048862934,0.045863092,0.015623033,0.016486704,0.0788123,0.12921327,0.008693576,0.008791089,0.012232304,0.0062626004,0.016866744,0.09121448,0.035875857,0.27227783,0.115053475,0.014265895,0.03090179,0.039145708,0.045463264,0.035771072,0.035981894,0.01901722,0.07331288,0.030022204,0.15128142,0.03324008,0.04035026,0.026893973
F6YMJ4,0.022258341,0.122740805,0.15368521,0.074552596,0.04548967,0.02442044,0.019482315,0.07857549,0.042623818,0.039877594,0.15056545,0.07540107,0.029722333,0.064632,0.04543042,0.018317163,0.01787591,0.032868505,0.034349322,0.07004768,0.03241265,0.067970574,0.02151382,0.0577963,0.032280564,0.027557194,0.013158858,0.030676186,0.023725033,0.03617841,0.013009667,0.01752615,0.034763217,0.21197742,0.033417642,0.021848083,0.4073407,0.009940684,0.012366056,0.0,0.051120877,0.0059118867,0.043542206,0.045044243,0.026439428,0.059336722,0.031132877,0.1874606,0.096463084,0.047944903,0.028450549,0.010737836,0.02071917,0.008625567,0.0069548488,0.0056948066,0.0060189366,0.011644363,0.007335782,0.0065549016,0.009388208,0.008431852,0.015039146,0.02093786,0.023997664,0.021606088,0.01981771,0.009831965,0.061030746,0.015118659,0.008866191,0.0141865015,0.013504803,0.035498798,0.009951949,0.010840774,0.085294425,0.07601273,0.06881046,0.019845426,0.05153787,0.081252456,0.10264242,0.01460129,0.008430064,0.008877516,0.016772509,0.04287237,0.025953531,0.0740698,0.047885,0.06844276,0.054959416,0.020918071,0.04954022,0.052027762,0.03224957,0.040774107,0.0923,0.06611675,0.040869534,0.054868817,0.12212598,0.103265405,0.060388386,0.042229116,0.017422795,0.16248548,0.023483574,0.035657823,0.034788728,0.030672133,0.018506825,0.07352471,0.018417716,0.030415058,0.015921593,0.084967256,0.10905033,0.04931146,0.05379826,0.0069180727,0.25084817,0.0064661503,0.06008321,0.05113423,0.021727622,0.025562406,0.09018159,0.13400275,0.017946243,0.017369807,0.005564809,0.013400555,0.025016725,0.10740769,0.04474181,0.287776,0.12332839,0.02242142,0.032465756,0.04142511,0.05218798,0.039083958,0.038018405,0.009169996,0.0789153,0.034746706,0.15848023,0.043033957,0.037608385,0.036527693
F6YXK6,0.031082034,0.09200913,0.1917004,0.025026143,0.02399689,0.03769517,0.039719105,0.042176127,0.036551535,0.034443438,0.06392801,0.086868405,0.036117792,0.042972803,0.02928251,0.056524813,0.06266141,0.036625028,0.03319913,0.08275974,0.033480406,0.03774947,0.03369689,0.043691278,0.056154966,0.055335462,0.037676692,0.042069435,0.08238727,0.03985834,0.054565847,0.06588882,0.11270797,0.14206159,0.027778566,0.04716444,0.40104634,0.042951047,0.039408565,0.051120877,0.0,0.041676342,0.028843105,0.019809067,0.050159156,0.04272437,0.050367773,0.16008991,0.09667981,0.03249085,0.041211486,0.05394399,0.04514903,0.046317875,0.049312115,0.04246539,0.04379958,0.052797675,0.04627353,0.050340056,0.04776776,0.044993818,0.028858185,0.030183613,0.02677387,0.06340587,0.080791175,0.06361437,0.07201034,0.059093237,0.044407368,0.041414738,0.038194478,0.029628456,0.052300274,0.06351864,0.04056096,0.06889701,0.062328815,0.055456758,0.039601147,0.079895675,0.090865135,0.0584085,0.04096937,0.03831631,0.054251075,0.021681428,0.043465793,0.06276369,0.017778516,0.04680717,0.027395964,0.037065506,0.02742523,0.02667749,0.03410089,0.029514134,0.07757282,0.030163467,0.037135363,0.023889482,0.07452273,0.0370813,0.027976751,0.017861307,0.044208407,0.124731004,0.034302473,0.02547425,0.0232957,0.053602695,0.07798797,0.07795644,0.034640312,0.03896624,0.043965876,0.057998836,0.103368044,0.031318426,0.0253039,0.048967004,0.2627172,0.036939323,0.02672571,0.026742697,0.028949142,0.022922754,0.041015267,0.10287809,0.036665022,0.03699094,0.05272597,0.03220725,0.018998861,0.10196656,0.02113086,0.24727172,0.08895892,0.02374202,0.058295667,0.029892683,0.02217573,0.032051325,0.038374186,0.059790134,0.09578425,0.024653792,0.12854528,0.015368581,0.050012052,0.024542332
F7GH03,0.017055154,0.110320926,0.16212499,0.06727785,0.038680017,0.025427103,0.015429378,0.071476996,0.031938672,0.029652953,0.14437842,0.069978714,0.023257792,0.05315888,0.039328694,0.01665765,0.018444717,0.02392298,0.0298028,0.06351763,0.025015593,0.05855781,0.015170157,0.050572693,0.025303423,0.024467885,0.011588514,0.024671853,0.03186202,0.03286791,0.0145968795,0.023598135,0.05284846,0.19445217,0.023353577,0.025821507,0.4086901,0.008461952,0.01167655,0.0059118867,0.041676342,0.0,0.03771895,0.035219193,0.025016546,0.054879904,0.023560286,0.18475121,0.08408898,0.03988862,0.01971507,0.01229465,0.027497888,0.01012671,0.009139061,0.006047249,0.009315908,0.01466167,0.009641945,0.00960207,0.011418939,0.0071793795,0.00890255,0.013762534,0.016869307,0.020981431,0.022852004,0.019763768,0.05997312,0.01546669,0.007768452,0.010004938,0.011113882,0.03388524,0.016618788,0.02066493,0.074052215,0.06835979,0.06054759,0.015663445,0.044956386,0.08600402,0.09678483,0.019197643,0.010659158,0.009405196,0.025633216,0.03197676,0.020047605,0.06942254,0.04086578,0.05774671,0.04632455,0.013928652,0.0405398,0.037725747,0.02493453,0.03156382,0.085118115,0.05640793,0.030918956,0.04030472,0.10813171,0.08995432,0.052613735,0.032775342,0.012785792,0.15457189,0.016039908,0.0279876,0.029021084,0.031019032,0.028108656,0.06629777,0.010760248,0.020738125,0.012320459,0.07282865,0.10161674,0.038021028,0.04094529,0.009836853,0.24935716,0.010391057,0.05367714,0.04419315,0.016625106,0.022345185,0.08749056,0.12880504,0.015003085,0.014732361,0.008204579,0.007928252,0.017844379,0.10649991,0.03283,0.2856502,0.11102742,0.018776178,0.027107835,0.032749534,0.04953885,0.03408128,0.02256918,0.017317057,0.07904112,0.029453456,0.14906508,0.032081366,0.026889384,0.027675867
G3UZ78,0.031983256,0.103180826,0.1660651,0.043079793,0.033682227,0.030294001,0.038324416,0.03354484,0.04278046,0.0286116,0.11708051,0.09271926,0.030163825,0.031377554,0.037829876,0.052746117,0.0537858,0.030432463,0.035152137,0.07684189,0.022674143,0.04354465,0.025476456,0.039373398,0.050895512,0.045999825,0.03359443,0.026695311,0.068903446,0.047867596,0.04553485,0.056676567,0.092630684,0.18732321,0.028340876,0.042750537,0.39328527,0.03629297,0.038306773,0.043542206,0.028843105,0.03771895,0.0,0.029153168,0.036328673,0.04999119,0.038193107,0.16998243,0.10171604,0.03415239,0.03947413,0.048469424,0.053741753,0.042744756,0.044332027,0.041001618,0.046832025,0.052304983,0.04741037,0.048496664,0.04220742,0.04273522,0.03478527,0.03280008,0.03771478,0.046020865,0.057462394,0.052600205,0.069610536,0.041949928,0.03999245,0.03788054,0.040133238,0.0604617,0.042766333,0.050780833,0.046447814,0.0762279,0.06838447,0.04855573,0.037361503,0.08145791,0.07002264,0.057839274,0.03815496,0.035455406,0.05862713,0.02988106,0.02273333,0.0541178,0.03100127,0.051603913,0.030101836,0.029556274,0.029815495,0.031964898,0.022781253,0.027911782,0.062256455,0.03469795,0.027993917,0.03858888,0.09029317,0.061661124,0.056297064,0.032780707,0.040881813,0.12675536,0.030483782,0.025200248,0.04232186,0.07051635,0.068119526,0.06949741,0.03665489,0.03507185,0.037061393,0.057890594,0.10489023,0.02705586,0.030483127,0.04415834,0.26208538,0.038383663,0.037558734,0.0033739805,0.030373394,0.028913498,0.05278951,0.11429131,0.036707938,0.04026586,0.042423308,0.03706783,0.031041145,0.09523922,0.02215749,0.26542604,0.09398496,0.026742041,0.041548073,0.051570654,0.050299168,0.02996236,0.02965784,0.049526334,0.081201375,0.047686994,0.12753952,0.03301549,0.03326547,0.032109857
G5EF00,0.02624327,0.07252377,0.1923551,0.039948344,0.027079105,0.03678584,0.039305866,0.04470998,0.042037487,0.018929303,0.10707909,0.08958936,0.018758237,0.026167274,0.016153932,0.052141905,0.05731958,0.015447736,0.026506603,0.08794743,0.023584902,0.024989069,0.034356058,0.049734592,0.043034434,0.056560397,0.033203363,0.036515057,0.07604706,0.030191004,0.043173373,0.057138503,0.10457915,0.17007154,0.023702085,0.0508852,0.38936532,0.041026175,0.033973336,0.045044243,0.019809067,0.035219193,0.029153168,0.0,0.036088407,0.027968049,0.03503406,0.15976804,0.09996086,0.019858181,0.025583506,0.045982182,0.055596232,0.042506576,0.04649973,0.038476586,0.04141122,0.05389738,0.043016613,0.048043847,0.04195136,0.04021454,0.023957789,0.020697892,0.018759131,0.060123026,0.07075381,0.052847862,0.06406844,0.052214682,0.035092413,0.031410992,0.026521325,0.045867145,0.043256044,0.052560687,0.03835708,0.061398864,0.054008484,0.03878802,0.043866873,0.085501134,0.07663202,0.0635519,0.04045117,0.036621153,0.061153233,0.01249814,0.02958107,0.055210054,0.016548991,0.025011957,0.016756892,0.022171795,0.016039193,0.009925067,0.022856534,0.015500665,0.053440988,0.01415199,0.027446687,0.016668737,0.07763654,0.03882593,0.03266704,0.024628222,0.038803518,0.11279702,0.020135641,0.025118947,0.035322428,0.059003413,0.078959644,0.06533563,0.030055702,0.031304598,0.042163253,0.040038288,0.092388034,0.02203077,0.013474345,0.043911755,0.25589746,0.03814739,0.019521534,0.02974534,0.027417183,0.02994442,0.056984067,0.082558036,0.02757132,0.02962166,0.046999335,0.025674522,0.019109428,0.09137529,0.012984276,0.23902845,0.07245588,0.026357174,0.053150177,0.04540968,0.03407681,0.02125001,0.029227614,0.04853469,0.085817456,0.039028704,0.1251415,0.012533605,0.04333955,0.01176095
G5EGB6,0.025746226,0.10302478,0.15710652,0.07012099,0.03701186,0.030977666,0.02311021,0.07276982,0.03740239,0.023570478,0.16039026,0.09062058,0.017788231,0.057049215,0.039521575,0.036852837,0.037388384,0.021640837,0.030401707,0.076325595,0.023533225,0.05966556,0.019158483,0.0496068,0.02663654,0.036462247,0.022856057,0.023485303,0.037891507,0.03404361,0.020273387,0.028279006,0.062500834,0.22399908,0.025495648,0.028203309,0.39250684,0.022557557,0.02450353,0.026439428,0.050159156,0.025016546,0.036328673,0.036088407,0.0,0.065754235,0.02966106,0.18916333,0.10563922,0.047534645,0.017468333,0.028358936,0.051320374,0.029416084,0.018219769,0.028344095,0.03409207,0.027349412,0.02800268,0.027474105,0.023847222,0.022352695,0.022417605,0.022833347,0.027464926,0.027596653,0.033121884,0.029810667,0.044118285,0.021874845,0.018752933,0.01895535,0.019677877,0.056322753,0.027028203,0.028887153,0.07330835,0.07070792,0.061715186,0.012686968,0.039049685,0.08795428,0.08511108,0.03707385,0.02504778,0.02313459,0.050398946,0.037079036,0.018571258,0.077675164,0.03921449,0.06696534,0.054159045,0.01765436,0.040337384,0.036740363,0.022648156,0.025461376,0.08773959,0.056884646,0.035062194,0.046376824,0.12629545,0.08964783,0.059622765,0.0337376,0.025755465,0.13996458,0.01849699,0.02492708,0.03076911,0.05628544,0.04078883,0.07137644,0.02846384,0.026987493,0.026805818,0.07002747,0.095605016,0.03257507,0.039100766,0.02657944,0.25212514,0.03027296,0.05160153,0.04204148,0.015572667,0.028863251,0.08868116,0.13233405,0.025029063,0.02583611,0.027550578,0.024640143,0.029388368,0.101812184,0.031367123,0.2658388,0.09677905,0.025274932,0.032695174,0.04783398,0.04918015,0.04174465,0.029387355,0.025460064,0.08744162,0.039811194,0.13866997,0.04387772,0.021443546,0.025866926
H9G343,0.05053848,0.09815413,0.19076264,0.053593576,0.045229435,0.039959013,0.06253958,0.045644462,0.062114418,0.055383027,0.110517085,0.11590862,0.04417932,0.020185292,0.029476166,0.065446734,0.07156032,0.045374095,0.047080874,0.10429186,0.040933967,0.012365699,0.0603168,0.07399154,0.075939,0.07526088,0.0562827,0.063471556,0.08853865,0.052220106,0.0651992,0.073608875,0.11343086,0.19422984,0.05235815,0.06872296,0.40935564,0.057428837,0.05309403,0.059336722,0.04272437,0.054879904,0.04999119,0.027968049,0.065754235,0.0,0.04994321,0.17039502,0.12417364,0.024846196,0.058576107,0.061989844,0.06196475,0.056833208,0.06749427,0.051053047,0.053058267,0.067409396,0.057700813,0.06158352,0.05942321,0.05759287,0.047857285,0.047250688,0.04172492,0.08519977,0.094051,0.065030396,0.09074348,0.077279925,0.058722794,0.055818915,0.0516755,0.057917476,0.056578994,0.066916764,0.055137098,0.09072709,0.08672184,0.06563187,0.05741006,0.09387547,0.08911818,0.0730654,0.057766736,0.055419326,0.065699875,0.03524685,0.055248618,0.052814186,0.03636217,0.018916786,0.01710254,0.043192685,0.028994143,0.043012798,0.04050207,0.037014544,0.037783504,0.017520368,0.045126617,0.038757324,0.09514308,0.06378722,0.05614227,0.055651486,0.060799778,0.13236517,0.039855897,0.050800204,0.05860877,0.07657087,0.08643103,0.07437104,0.048951328,0.059332788,0.058997393,0.07089776,0.11690247,0.045690835,0.026268959,0.05880177,0.26680523,0.052092254,0.01657641,0.05143243,0.05707872,0.044772685,0.05061102,0.070773184,0.048586965,0.048651397,0.05987376,0.049486876,0.046493053,0.097958386,0.033091724,0.26612037,0.08047938,0.04319364,0.06857711,0.05881548,0.05585271,0.024488986,0.053301215,0.06278467,0.10367066,0.05542469,0.1495173,0.030042052,0.07778394,0.038231134
O17824,0.034054518,0.106132865,0.16299331,0.06689042,0.04012847,0.022063673,0.026411116,0.05939114,0.03035736,0.028245568,0.15095603,0.09940183,0.028668106,0.032792747,0.043838322,0.04653144,0.051379144,0.027899563,0.036716163,0.08870691,0.026079595,0.044614673,0.026154697,0.069755375,0.03183204,0.043364108,0.028303087,0.03147,0.056212544,0.04697615,0.027997792,0.048059225,0.08844513,0.19675231,0.030388236,0.056201577,0.40440023,0.036141574,0.039816856,0.031132877,0.050367773,0.023560286,0.038193107,0.03503406,0.02966106,0.04994321,0.0,0.2016632,0.11338019,0.033420563,0.025286674,0.034674823,0.06198728,0.03521645,0.031448722,0.023176908,0.031652868,0.044377744,0.040114462,0.041020155,0.040118992,0.033230603,0.029698908,0.032559037,0.03383398,0.050079823,0.050724268,0.037811697,0.056108057,0.040927887,0.032416582,0.032225072,0.024261475,0.05623269,0.034701824,0.04000646,0.06424856,0.08474898,0.07681042,0.026794255,0.051160574,0.10225558,0.08124095,0.05303198,0.04090774,0.038031757,0.058574915,0.033189237,0.018306613,0.07406998,0.049048483,0.04820794,0.043745935,0.019183874,0.035060465,0.033062577,0.025755107,0.033108354,0.06508261,0.048931003,0.035187066,0.040013492,0.094249725,0.08322179,0.062097132,0.049444914,0.020852923,0.13911545,0.01875484,0.034220755,0.03982073,0.051391542,0.056631207,0.07200515,0.023942709,0.034340203,0.026916146,0.06411648,0.09626031,0.037486613,0.037102997,0.033420146,0.2641515,0.039890707,0.048279583,0.04124093,0.028725326,0.031780362,0.0797565,0.118424,0.034672022,0.034310937,0.03135866,0.030848801,0.037166297,0.104495645,0.03613764,0.29319572,0.097169936,0.028460026,0.039316595,0.044283807,0.060753882,0.03319961,0.029642045,0.034373343,0.09499431,0.042796373,0.14198661,0.040573657,0.024741828,0.030567646
O42145,0.16849107,0.14487028,0.29353905,0.16518116,0.17316538,0.1922096,0.1942653,0.20050484,0.20060736,0.16783702,0.2148056,0.20638925,0.16116607,0.18198663,0.1589365,0.18528783,0.18719947,0.171619,0.16624767,0.19909441,0.17865187,0.17328787,0.17256021,0.11864883,0.19393802,0.20143998,0.17931062,0.17950392,0.22394264,0.16400862,0.18753499,0.20878237,0.2392748,0.30156285,0.17541462,0.1799764,0.2831009,0.18180698,0.1748274,0.1874606,0.16008991,0.18475121,0.16998243,0.15976804,0.18916333,0.17039502,0.2016632,0.0,0.19881117,0.18842894,0.18115371,0.19188255,0.18337452,0.18210167,0.19510633,0.188474,0.18601519,0.18888319,0.18694079,0.18811929,0.17803258,0.18461287,0.16995984,0.16362745,0.16283846,0.19949263,0.21087539,0.20267081,0.21367615,0.19720292,0.17859751,0.17251742,0.18122363,0.17993748,0.18779188,0.20227629,0.18620175,0.17495465,0.17352742,0.19454402,0.19312072,0.18796295,0.17795736,0.19214362,0.17436594,0.17318183,0.18849832,0.17053396,0.19140506,0.19887447,0.16362232,0.17540002,0.1718111,0.18191254,0.17685807,0.16877925,0.17781365,0.16342872,0.21724546,0.16864932,0.178146,0.17162508,0.23667872,0.19314945,0.16096526,0.15732092,0.19951838,0.14776409,0.1843152,0.16873544,0.18115783,0.19647509,0.21777117,0.20757598,0.18177003,0.15979218,0.18749857,0.15647477,0.14263934,0.17838168,0.17039186,0.1938554,0.23697603,0.17821097,0.16577,0.17268223,0.17364609,0.16822338,0.17955971,0.18851542,0.1742872,0.17661428,0.1967721,0.17208683,0.16191345,0.22269082,0.16595685,0.17688066,0.18999213,0.16689193,0.20394707,0.19222677,0.16185468,0.17727709,0.18673837,0.20172727,0.15786803,0.18236375,0.20583051,0.16735208,0.2012667,0.16489065
